Nov-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1RA SEMANA,,,,,,,,,,2DA SEMANA,,,,,,,,,,3RA SEMANA,,,,,,,,,,4TA SEMANA,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,,,,8,9,10,11,12,13,14,,,,15,16,17,18,19,20,21,,,,22,23,24,25,26,27,28,29,30,31,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
LEADS-GAC ANGELÓPOLIS-ENE",5,4,5,2,3,4,8,FORMULARIOS,31,,7,5,8,2,2,3,3,FORMULARIOS,30,,5,2,3,2,1,2,5,FORMULARIOS,20,,1,0,2,5,0,6,5,0,1,-,FORMULARIOS,17,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEADS-WHATSAPP-ANGELÓPOLIS-,4,9,20,57,22,6,13,CONVERSACIONES,131,,8,15,12,15,6,12,7,CONVERSACIONES,75,,9,12,4,16,6,5,10,CONVERSACIONES,62,,4,10,15,9,8,12,5,6,12,10,CONVERSACIONES,62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-WHATSAPP-ASESORES-ANGELOPOLIS,8,17,12,12,15,13,12,CONVERSACIONES,89,,12,9,9,10,18,11,4,CONVERSACIONES,73,,15,11,11,24,11,6,8,CONVERSACIONES,86,,13,6,5,11,6,10,8,9,8,10,CONVERSACIONES,62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA ELÉCTRICOS GAC ANGELÓPOLIS,0,1,0,1,2,5,1,FORMULARIOS,10,,1,5,4,3,3,1,0,FORMULARIOS,17,,3,1,1,2,3,6,5,FORMULARIOS,21,,3,0,1,3,0,1,1,2,2,4,FORMULARIOS,13,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-ANA-TLAXCALA,4,7,7,6,7,15,7,CONVERSACIONES,53,,10,2,4,3,3,3,4,CONVERSACIONES,29,,5,2,8,3,4,8,7,CONVERSACIONES,37,,4,7,3,3,3,6,0,4,4,4,CONVERSACIONES,24,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA LEADS TLAXCALA,2,5,2,2,1,2,1,FORMULARIOS,15,,0,1,3,3,2,1,1,FORMULARIOS,11,,2,1,2,3,1,2,2,FORMULARIOS,13,,0,1,3,0,0,0,0,0,0,0,FORMULARIOS,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA ASESORES TLAXCALA,6,4,5,8,7,3,5,CONVERSACIONES,38,,7,0,5,3,2,4,5,CONVERSACIONES,26,,1,3,1,3,4,2,1,CONVERSACIONES,15,,3,5,2,6,5,2,0,2,5,4,CONVERSACIONES,24,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA LEADS PACHUCA,-,-,-,-,-,-,2,FORMULARIOS,2,,6,2,6,2,2,4,2,FORMULARIOS,24,,3,4,1,4,1,0,2,FORMULARIOS,15,,2,1,2,4,3,1,1,1,1,2,FORMULARIOS,13,,,,,
,,,,,,,,,329,,,,,,,,,,235,,,,,,,,,,239,,,,,,,,,,,,,178,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECONOCIMIENTO PACHUCA,174439,ALCANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITIO WEB,2301,VISITAS A SITIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRUPLAY,75711,THRUPLAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIKES,2732,SEGUIDORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
